省份,出发地,目的地,面积,人口,GDP,车站数,人口密度,单车站发车数,人均GDP
海南,31,34,3.54,903.48,3500.7,6,255.220339,5.166666667,3.874684553
西藏,26,28,122.84,317.55,1026.39,3,2.58507001,8.666666667,3.232215399
新疆维吾尔,110,128,166,2298.47,9264.1,7,13.84620482,15.71428571,4.030550758
云南,150,171,39,4596.62,10309.8,7,117.8620513,21.42857143,2.24290892
四川,401,457,48.6,8140.2,30103.1,17,167.4938272,23.58823529,3.698078671
内蒙古,272,304,118.3,2504.8,17769.5,11,21.17328825,24.72727273,7.094179176
黑龙江,335,369,47.3,3835,15039.4,12,81.0782241,27.91666667,3.921616688
宁夏回族,84,92,6.64,661.54,2060,3,99.62951807,28,3.113946247
山西,311,329,15.67,3647.96,12759.4,11,232.7989789,28.27272727,3.497680896
甘肃,305,323,45.37,2590.78,6835.27,10,57.10337227,30.5,2.638305838
广西壮族,366,342,23.67,4796,16803.12,12,202.6193494,30.5,3.503569641
广东,859,926,17.97,10724,72800,19,596.7723984,45.21052632,6.788511749
福建,367,388,12.4,3839,25979.82,8,309.5967742,45.875,6.767340453
辽宁,752,761,14.8,4390,27077.7,14,296.6216216,53.71428571,6.168041002
浙江,898,893,10.18,5508,42886,13,541.0609037,69.07692308,7.786129267
吉林,500,519,18.74,2752.38,13803.81,7,146.8719317,71.42857143,5.015226822
湖北,1145,1137,18.59,5816,29550.19,16,312.8563744,71.5625,5.080844223
陕西,650,687,20.58,3775.12,17689.94,9,183.436346,72.22222222,4.685927865
河南,1247,1212,16.7,9480,37010.25,15,567.6646707,83.13333333,3.90403481
山东,998,956,15.8,9789.43,63002.3,12,619.5841772,83.16666667,6.435747536
湖南,1085,1123,21.18,6737.2,29047.2,13,318.0925401,83.46153846,4.311464703
江西,940,961,16.69,4565.63,16723.8,11,273.5548232,85.45454545,3.662977508
贵州,345,338,17.6167,3520.04,10502.56,4,199.8126777,86.25,2.983647913
安徽,1382,1397,14,6082.9,22005.6,16,434.4928571,86.375,3.617616597
青海,102,109,72.1,583.42,2301.12,1,8.091816921,102,3.944191149
江苏,1599,1530,10.72,7976.3,70116.4,14,744.0578358,114.2142857,8.790592129
河北,2003,1703,18.88,7383.75,29806.1,11,391.0884534,182.0909091,4.036715761
重庆,319,352,8.2402,3016.55,14263,1,366.0772797,319,4.728249159
天津,982,985,1.1946,1546.95,16538.19,1,1294.952285,982,10.69083681
上海,1121,1142,0.634,2415.27,24964.99,1,3809.574132,1121,10.33631437
北京,1326,1315,1.641054,2170.5,22968.6,1,1322.625581,1326,10.58217001
